"","Country.Name","Country.Code","Year","Continent","Agricultural.land....of.land.area.","Net.ODA.received....of.GNI.","Access.to.electricity....of.population.","GDP.growth..annual...","GDP.per.capita..current.US..","Mortality.rate..under.5..per.1.000.live.births.","Unemployment..total....of.total.labor.force...modeled.ILO.estimate.","Income.level","Dem.Index","Battle.Deaths","Human.Rights","Hum.Dev","migration_rel"
"262","Costa Rica","CRI",1992,"America",42.3031727379554,1.91030436431907,NA,9.19656098009354,2595.02252246487,15.6,3.9300000667572,"LM",10,0,1.12455687,0.67,0.0210563148862627
"263","Cuba","CUB",1992,"America",63.0819366852886,0.11396544430894,93.9526672363281,-11.5806030812698,2057.10340389586,12.3,8.03999996185303,"LM",-7,0,-1.035581876,0.676,-0.0111775031954418
"264","Cuba","CUB",1992,"America",63.0819366852886,0.11396544430894,93.9526672363281,-11.5806030812698,2057.10340389586,12.3,8.03999996185303,"LM",-7,0,-1.035581876,0.663,-0.0111775031954418
"265","Curacao","CUW",1992,"America",NA,NA,100,NA,NA,NA,NA,"..",NA,0,NA,NA,-0.0800280727111012
"266","Cyprus","CYP",1992,"Asia",17.2727272727273,0.381131987447296,100,9.39999901631703,11310.0719239521,10.7,2.08999991416931,"H",10,0,0.754590682,0.732,0.053952543744715
"267","Cyprus","CYP",1992,"Asia",17.2727272727273,0.381131987447296,100,9.39999901631703,11310.0719239521,10.7,2.08999991416931,"H",10,0,0.754590682,0.74,0.053952543744715
"268","Czech Republic","CZE",1992,"Europe",NA,NA,100,-0.506542369615516,3372.86542951101,11,3.22000002861023,"LM",-20,0,1.531351499,0.73,0.0029071268944076
"269","Czech Republic","CZE",1992,"Europe",NA,NA,100,-0.506542369615516,3372.86542951101,11,3.22000002861023,"LM",-20,0,1.531351499,0.728,0.0029071268944076
"270","Germany","DEU",1992,"Europe",48.5521152579269,NA,100,1.923076559054,26438.2303888417,7.6,6.32000017166138,"H",10,4,1.248965285,0.801,0.0326012044115866
"271","Germany","DEU",1992,"Europe",48.5521152579269,NA,100,1.923076559054,26438.2303888417,7.6,6.32000017166138,"H",10,4,1.248965285,0.814,0.0326012044115866
"272","Djibouti","DJI",1992,"Africa",59.1458153580673,22.5260915615662,NA,NA,777.262329602146,113.9,11.4700002670288,"LM",-7,254,-0.812002312,NA,-0.0731643075242174
"273","Denmark","DNK",1992,"Europe",64.9540419514495,NA,100,1.95700671183856,29569.6603567112,7.9,9.02999973297119,"H",10,0,2.540455855,0.799,0.0126593146496963
"274","Denmark","DNK",1992,"Europe",64.9540419514495,NA,100,1.95700671183856,29569.6603567112,7.9,9.02999973297119,"H",10,0,2.540455855,0.809,0.0126593146496963
"275","Dominican Republic","DOM",1992,"America",52.7013040778307,0.730094944326116,82.0788650512695,11.2209327428907,1532.90322435677,55.3,6.30000019073486,"LM",6,0,-0.205429789,0.598,-0.0194583349418804
"276","Dominican Republic","DOM",1992,"America",52.7013040778307,0.730094944326116,82.0788650512695,11.2209327428907,1532.90322435677,55.3,6.30000019073486,"LM",6,0,-0.205429789,0.612,-0.0194583349418804
"277","Algeria","DZA",1992,"Africa",16.3179020380058,0.817545907219917,NA,1.80000230312683,1776.03667438071,47,24.3799991607666,"LM",-7,291,-1.820420038,0.577,-0.00476089418190383
"278","Algeria","DZA",1992,"Africa",16.3179020380058,0.817545907219917,NA,1.80000230312683,1776.03667438071,47,24.3799991607666,"LM",-7,291,-1.820420038,0.587,-0.00476089418190383
"279","Ecuador","ECU",1992,"America",28.7277850021673,1.29051328650709,NA,2.114310675128,1688.5050673671,48.3,4.67999982833862,"LM",9,0,-0.780042201,0.643,-0.00177302830154434
"280","Ecuador","ECU",1992,"America",28.7277850021673,1.29051328650709,NA,2.114310675128,1688.5050673671,48.3,4.67999982833862,"LM",9,0,-0.780042201,0.65,-0.00177302830154434
"281","Egypt, Arab Rep.","EGY",1992,"Africa",3.00997538801547,8.88462881151748,93.4,4.47285918939831,713.452523933266,77.3,8.92000007629395,"L",-6,0,-1.172903527,0.546,-0.00784777574592682
"282","Egypt, Arab Rep.","EGY",1992,"Africa",3.00997538801547,8.88462881151748,93.4,4.47285918939831,713.452523933266,77.3,8.92000007629395,"L",-6,0,-1.172903527,0.557,-0.00784777574592682
"283","Eritrea","ERI",1992,"Africa",NA,0.209598939040563,NA,NA,211.331722614841,138.1,6.71999979019165,"L",NA,0,0.793455591,NA,-0.0979377722464219
"284","Spain","ESP",1992,"Europe",60.6259010091302,NA,100,0.929215548666747,16112.1889152156,8.3,17.7000007629395,"H",10,44,0.737876909,0.754,0.00815344420897201
"285","Spain","ESP",1992,"Europe",60.6259010091302,NA,100,0.929215548666747,16112.1889152156,8.3,17.7000007629395,"H",10,44,0.737876909,0.772,0.00815344420897201
"286","Estonia","EST",1992,"Europe",32.41330502477,NA,100,NA,NA,17.3,3.6800000667572,"UM",6,0,0.469438002,0.733,-0.0729741417828426
